pano_id,cx,cy,label,heading,img_id,pano_yaw_deg
XPRpjNDhowVo8zvqvSU1CA,,,,45,1_45,91.979996
XPRpjNDhowVo8zvqvSU1CA,,,,135,1_135,91.979996
XPRpjNDhowVo8zvqvSU1CA,,,,225,1_225,91.979996
XPRpjNDhowVo8zvqvSU1CA,,,,315,1_315,91.979996
iEyn0apLSZvl4i4alUbfcA,,,,45,10_45,145.81999
iEyn0apLSZvl4i4alUbfcA,,,,135,10_135,145.81999
iEyn0apLSZvl4i4alUbfcA,,,,225,10_225,145.81999
iEyn0apLSZvl4i4alUbfcA,,,,315,10_315,145.81999
1BzC3WoFeJ8U1aUT9Hx8mg,,,,45,100_45,359.18
1BzC3WoFeJ8U1aUT9Hx8mg,,,,135,100_135,359.18
1BzC3WoFeJ8U1aUT9Hx8mg,,,,225,100_225,359.18
1BzC3WoFeJ8U1aUT9Hx8mg,,,,315,100_315,359.18
oRN5vilebPS0srDXRPylzw,,,,45,1000_45,161.11
oRN5vilebPS0srDXRPylzw,,,,135,1000_135,161.11
oRN5vilebPS0srDXRPylzw,,,,225,1000_225,161.11
oRN5vilebPS0srDXRPylzw,,,,315,1000_315,161.11
KimNSirhP1TzngZkSpc8UA,,,,45,10000_45,270.06
KimNSirhP1TzngZkSpc8UA,,,,135,10000_135,270.06
KimNSirhP1TzngZkSpc8UA,,,,225,10000_225,270.06
KimNSirhP1TzngZkSpc8UA,,,,315,10000_315,270.06
wSgTCviqBcxQW64xrSIKcw,,,,45,10001_45,138.2
wSgTCviqBcxQW64xrSIKcw,,,,135,10001_135,138.2
wSgTCviqBcxQW64xrSIKcw,,,,225,10001_225,138.2
wSgTCviqBcxQW64xrSIKcw,,,,315,10001_315,138.2
uIk5AVUZOkymUbaj04Kimw,,,,45,10002_45,309.38998
uIk5AVUZOkymUbaj04Kimw,,,,135,10002_135,309.38998
uIk5AVUZOkymUbaj04Kimw,,,,225,10002_225,309.38998
uIk5AVUZOkymUbaj04Kimw,,,,315,10002_315,309.38998
_dty2YbU1eFujKLgPbpNsQ,,,,45,10003_45,270.91
_dty2YbU1eFujKLgPbpNsQ,,,,135,10003_135,270.91
_dty2YbU1eFujKLgPbpNsQ,,,,225,10003_225,270.91
_dty2YbU1eFujKLgPbpNsQ,,,,315,10003_315,270.91
GHXkdviPrNsL71preJ4Img,,,,45,10004_45,271.0
GHXkdviPrNsL71preJ4Img,,,,135,10004_135,271.0
GHXkdviPrNsL71preJ4Img,,,,225,10004_225,271.0
GHXkdviPrNsL71preJ4Img,,,,315,10004_315,271.0
kqlSwUu8GWuuBtDL2Ebq-Q,,,,45,10005_45,181.37999
kqlSwUu8GWuuBtDL2Ebq-Q,,,,135,10005_135,181.37999
kqlSwUu8GWuuBtDL2Ebq-Q,,,,225,10005_225,181.37999
kqlSwUu8GWuuBtDL2Ebq-Q,,,,315,10005_315,181.37999
msIYO3Qlp_x5lmIsyiN2cg,,,,45,10006_45,182.39
msIYO3Qlp_x5lmIsyiN2cg,,,,135,10006_135,182.39
msIYO3Qlp_x5lmIsyiN2cg,,,,225,10006_225,182.39
msIYO3Qlp_x5lmIsyiN2cg,,,,315,10006_315,182.39
9cO6z6r97ykfphPrJcssuQ,470.0,401.0,1.0,45,10007_45,68.33
9cO6z6r97ykfphPrJcssuQ,,,,135,10007_135,68.33
9cO6z6r97ykfphPrJcssuQ,293.0,388.0,1.0,225,10007_225,68.33
9cO6z6r97ykfphPrJcssuQ,230.0,422.0,1.0,315,10007_315,68.33
SQkS4V7w_KFhHl1Xn8AXog,,,,45,10008_45,181.29
SQkS4V7w_KFhHl1Xn8AXog,,,,135,10008_135,181.29
SQkS4V7w_KFhHl1Xn8AXog,,,,225,10008_225,181.29
SQkS4V7w_KFhHl1Xn8AXog,,,,315,10008_315,181.29
IBkCPmKWz3f1_Mc8SBY00A,,,,45,10009_45,310.94
IBkCPmKWz3f1_Mc8SBY00A,,,,135,10009_135,310.94
IBkCPmKWz3f1_Mc8SBY00A,,,,225,10009_225,310.94
IBkCPmKWz3f1_Mc8SBY00A,,,,315,10009_315,310.94
QSJabBBeRPYqELPQPX2lSQ,,,,45,1001_45,316.13
QSJabBBeRPYqELPQPX2lSQ,,,,135,1001_135,316.13
QSJabBBeRPYqELPQPX2lSQ,,,,225,1001_225,316.13
QSJabBBeRPYqELPQPX2lSQ,,,,315,1001_315,316.13
YGJ3GISjPQ9EhPSXN9MiPg,,,,45,10010_45,181.73998999999998
YGJ3GISjPQ9EhPSXN9MiPg,,,,135,10010_135,181.73998999999998
YGJ3GISjPQ9EhPSXN9MiPg,,,,225,10010_225,181.73998999999998
YGJ3GISjPQ9EhPSXN9MiPg,,,,315,10010_315,181.73998999999998
_dKqA_LkO3uavxiM9pVtBg,,,,45,10011_45,220.81999
_dKqA_LkO3uavxiM9pVtBg,,,,135,10011_135,220.81999
_dKqA_LkO3uavxiM9pVtBg,,,,225,10011_225,220.81999
_dKqA_LkO3uavxiM9pVtBg,,,,315,10011_315,220.81999
IBkCPmKWz3f1_Mc8SBY00A,,,,45,10012_45,310.94
IBkCPmKWz3f1_Mc8SBY00A,,,,135,10012_135,310.94
IBkCPmKWz3f1_Mc8SBY00A,,,,225,10012_225,310.94
IBkCPmKWz3f1_Mc8SBY00A,,,,315,10012_315,310.94
agVPvT3Lfz672yE7LcLiGg,384.0,369.0,1.0,45,10013_45,306.99
agVPvT3Lfz672yE7LcLiGg,141.0,391.0,1.0,135,10013_135,306.99
agVPvT3Lfz672yE7LcLiGg,476.0,410.0,1.0,225,10013_225,306.99
agVPvT3Lfz672yE7LcLiGg,349.0,384.0,1.0,315,10013_315,306.99
Y7csrgNBGJO2uo8QE2gDVA,,,,45,10014_45,1.8499999
Y7csrgNBGJO2uo8QE2gDVA,,,,135,10014_135,1.8499999
Y7csrgNBGJO2uo8QE2gDVA,,,,225,10014_225,1.8499999
Y7csrgNBGJO2uo8QE2gDVA,,,,315,10014_315,1.8499999
K_xN-mVJkiNCm1IygjKb2w,,,,45,10015_45,324.4
K_xN-mVJkiNCm1IygjKb2w,,,,135,10015_135,324.4
K_xN-mVJkiNCm1IygjKb2w,,,,225,10015_225,324.4
K_xN-mVJkiNCm1IygjKb2w,,,,315,10015_315,324.4
MY_2ukdmNq-LmaSIPb4DOg,,,,45,10016_45,209.79
MY_2ukdmNq-LmaSIPb4DOg,,,,135,10016_135,209.79
MY_2ukdmNq-LmaSIPb4DOg,,,,225,10016_225,209.79
MY_2ukdmNq-LmaSIPb4DOg,,,,315,10016_315,209.79
m4FSsbGyzpXWJ1AOQ0-zbg,,,,45,10017_45,182.15999
m4FSsbGyzpXWJ1AOQ0-zbg,,,,135,10017_135,182.15999
m4FSsbGyzpXWJ1AOQ0-zbg,,,,225,10017_225,182.15999
m4FSsbGyzpXWJ1AOQ0-zbg,,,,315,10017_315,182.15999
swNXGF5J7y_F9jrO-mcu_A,383.0,426.0,1.0,45,10018_45,122.67
swNXGF5J7y_F9jrO-mcu_A,330.0,404.0,1.0,135,10018_135,122.67
swNXGF5J7y_F9jrO-mcu_A,,,,225,10018_225,122.67
swNXGF5J7y_F9jrO-mcu_A,,,,315,10018_315,122.67
H3kNFz6ha3ao8CGyBBLFHg,,,,45,10019_45,270.43
H3kNFz6ha3ao8CGyBBLFHg,,,,135,10019_135,270.43
H3kNFz6ha3ao8CGyBBLFHg,,,,225,10019_225,270.43
H3kNFz6ha3ao8CGyBBLFHg,,,,315,10019_315,270.43
2cB5mnuCa5NEoGFXXaQDuw,,,,45,1002_45,3.3
2cB5mnuCa5NEoGFXXaQDuw,,,,135,1002_135,3.3
2cB5mnuCa5NEoGFXXaQDuw,,,,225,1002_225,3.3
2cB5mnuCa5NEoGFXXaQDuw,,,,315,1002_315,3.3
Jno6bU5DyDK1agBOUJA39A,,,,45,10020_45,305.3
Jno6bU5DyDK1agBOUJA39A,,,,135,10020_135,305.3
Jno6bU5DyDK1agBOUJA39A,,,,225,10020_225,305.3
Jno6bU5DyDK1agBOUJA39A,,,,315,10020_315,305.3
hC3khgigmqLp4Rc4KLfngg,,,,45,10021_45,91.11
hC3khgigmqLp4Rc4KLfngg,,,,135,10021_135,91.11
hC3khgigmqLp4Rc4KLfngg,,,,225,10021_225,91.11
hC3khgigmqLp4Rc4KLfngg,,,,315,10021_315,91.11
SSCtHUqvJwbWUI28Po8rWw,,,,45,10022_45,181.89
SSCtHUqvJwbWUI28Po8rWw,,,,135,10022_135,181.89
SSCtHUqvJwbWUI28Po8rWw,,,,225,10022_225,181.89
SSCtHUqvJwbWUI28Po8rWw,,,,315,10022_315,181.89
qa1ZTtM1ssjgGN5rOHA7Qw,,,,45,10023_45,179.09
qa1ZTtM1ssjgGN5rOHA7Qw,,,,135,10023_135,179.09
qa1ZTtM1ssjgGN5rOHA7Qw,,,,225,10023_225,179.09
qa1ZTtM1ssjgGN5rOHA7Qw,,,,315,10023_315,179.09
