,filename,region_count,cx,cy,Present Curb Ramp,Obstacle,Surface Problem,Missing Curb Ramp,Occlusion,No Sidewalk,img_id
0,680_45.jpg,3,108.0,389.0,"1
",,,,,,680
1,680_45.jpg,3,160.0,389.0,1,,,,,,680
2,680_45.jpg,3,607.0,453.0,1,,,,,,680
3,680_135.jpg,6,18.0,475.0,1,,,,,,680
4,680_135.jpg,6,245.0,413.0,1,,,,,,680
5,680_135.jpg,6,266.0,392.0,,5,,,,,680
6,680_135.jpg,6,545.0,373.0,,5,,,,,680
7,680_135.jpg,6,560.0,389.0,"1
",,,,,,680
8,680_135.jpg,6,591.0,374.0,,"1
",,,,,680
9,680_225.jpg,4,179.0,411.0,,,1,,,,680
10,680_225.jpg,4,427.0,386.0,,3,,,,,680
11,680_225.jpg,4,520.0,401.0,1,,,,,,680
12,680_225.jpg,4,540.0,379.0,,3,,,,,680
13,680_315.jpg,1,281.0,359.0,1,,,,,,680
14,877_45.jpg,0,,,,,,,,,877
15,877_135.jpg,0,,,,,,,,,877
16,877_225.jpg,2,416.0,360.0,1,,,,,,877
17,877_225.jpg,2,581.0,358.0,,,,1,,,877
18,877_315.jpg,0,,,,,,,,,877
19,1042_45.jpg,3,281.0,447.0,,3,,,,,1042
20,1042_45.jpg,3,90.0,380.0,,1,,,,,1042
21,1042_45.jpg,3,69.0,363.0,,2,,,,,1042
22,1042_135.jpg,1,526.0,347.0,,2,,,,,1042
23,1042_225.jpg,0,,,,,,,,,1042
24,1042_315.jpg,4,75.0,418.0,,3,,,,,1042
25,1042_315.jpg,4,298.0,372.0,,3,,,,,1042
26,1042_315.jpg,4,319.0,371.0,,3,,,,,1042
27,1042_315.jpg,4,354.0,361.0,,3,,,,,1042
28,1205_45.jpg,1,173.0,352.0,1,,,,,,1205
29,1205_135.jpg,4,90.0,372.0,1,,,,,,1205
30,1205_135.jpg,4,184.0,367.0,1,,,,,,1205
31,1205_135.jpg,4,341.0,365.0,1,,,,,,1205
32,1205_135.jpg,4,118.0,370.0,,4,,,,,1205
33,1205_225.jpg,0,,,,,,,,,1205
34,1205_315.jpg,0,,,,,,,,,1205
35,1908_45.jpg,1,162.0,436.0,2,,,,,,1908
36,1908_135.jpg,1,392.0,433.0,2,,,,,,1908
37,1908_225.jpg,2,446.0,384.0,1,,,,,,1908
38,1908_225.jpg,2,530.0,382.0,1,,,,,,1908
39,1908_315.jpg,3,399.0,375.0,2,,,,,,1908
40,1908_315.jpg,3,193.0,353.0,2,,,,,,1908
41,1908_315.jpg,3,215.0,346.0,,1,,,,,1908
42,2901_45.jpg,0,,,,,,,,,2901
43,2901_135.jpg,0,,,,,,,,,2901
44,2901_225.jpg,0,,,,,,,,,2901
45,2901_315.jpg,0,,,,,,,,,2901
46,3613_45.jpg,0,,,,,,,,,3613
47,3613_135.jpg,0,,,,,,,,,3613
48,3613_225.jpg,1,433.0,402.0,3,,,,,,3613
49,3613_315.jpg,1,191.0,381.0,,1,,,,,3613
50,3914_45.jpg,1,474.0,434.0,2,,,,,,3914
51,3914_135.jpg,0,,,,,,,,,3914
52,3914_225.jpg,2,67.0,568.0,1,,,,,,3914
53,3914_225.jpg,2,107.0,472.0,,,1,,,,3914
54,3914_315.jpg,0,,,,,,,,,3914
55,4684_45.jpg,2,465.0,371.0,1,,,,,,4684
56,4684_45.jpg,2,294.0,421.0,2,,,,,,4684
57,4684_135.jpg,6,399.0,403.0,3,,,,,,4684
58,4684_135.jpg,6,495.0,398.0,,,1,,,,4684
59,4684_135.jpg,6,443.0,387.0,,,1,,,,4684
60,4684_135.jpg,6,603.0,439.0,1,,,,,,4684
61,4684_135.jpg,6,539.0,420.0,1,,,,,,4684
62,4684_135.jpg,6,469.0,355.0,,,1,,,,4684
63,4684_225.jpg,7,155.0,447.0,,,1,,,,4684
64,4684_225.jpg,7,212.0,431.0,,,1,,,,4684
65,4684_225.jpg,7,273.0,414.0,,,1,,,,4684
66,4684_225.jpg,7,333.0,395.0,,,1,,,,4684
67,4684_225.jpg,7,31.0,508.0,,,3,,,,4684
68,4684_225.jpg,7,399.0,378.0,,,1,,,,4684
69,4684_225.jpg,7,507.0,347.0,,1,,,,,4684
70,4684_315.jpg,2,201.0,378.0,,,1,,,,4684
71,4684_315.jpg,2,602.0,521.0,,,1,,,,4684
72,5479_45.jpg,4,289.0,365.0,,3,,,,,5479
73,5479_45.jpg,4,215.0,377.0,,,1,,,,5479
74,5479_45.jpg,4,134.0,389.0,,,1,,,,5479
75,5479_45.jpg,4,69.0,403.0,,,3,,,,5479
