,date,lat,long,pano_id,name,pano_yaw_deg,tilt_yaw_deg,tilt_pitch_deg
0,2019-06,42.95750301464003,-87.93836739674397,XPRpjNDhowVo8zvqvSU1CA,1,91.979996,125.04,0.83
1,2016-10,42.899258700000004,-88.0470983,iEyn0apLSZvl4i4alUbfcA,10,145.81999,-178.26999,1.06
2,2011-08,42.921614044955405,-87.88102546135187,1BzC3WoFeJ8U1aUT9Hx8mg,100,359.18,30.769999,2.55
3,2018-09,43.050122500601034,-88.04026273617674,oRN5vilebPS0srDXRPylzw,1000,161.11,67.549995,1.5699999
4,2019-05,42.9592887,-88.0260425,KimNSirhP1TzngZkSpc8UA,10000,270.06,-114.81,1.35
5,2011-09,42.8621141,-87.93624150000001,wSgTCviqBcxQW64xrSIKcw,10001,138.2,160.51,1.02
6,2011-09,42.86310034965109,-87.93619147260272,uIk5AVUZOkymUbaj04Kimw,10002,309.38998,22.439999,3.6599998
7,2019-06,42.88575309143616,-87.9347033723957,_dty2YbU1eFujKLgPbpNsQ,10003,270.91,40.219997,1.8
8,2019-06,42.8870786,-87.93463259999999,GHXkdviPrNsL71preJ4Img,10004,271,157.9,0.66999996
9,2018-08,42.98660289538898,-87.93856214315247,kqlSwUu8GWuuBtDL2Ebq-Q,10005,181.37999,155.39,1.51
10,2017-07,42.9756687,-87.9388568,msIYO3Qlp_x5lmIsyiN2cg,10006,182.39,80.93,2.03
11,2011-06,42.95569014913951,-87.93903325037735,9cO6z6r97ykfphPrJcssuQ,10007,68.33,28.4,2.06
12,2011-07,42.952047886548435,-87.93914301630085,SQkS4V7w_KFhHl1Xn8AXog,10008,181.29,-130.61,3.1699998
13,2019-06,42.9259802072315,-87.94029450789766,IBkCPmKWz3f1_Mc8SBY00A,10009,310.94,-164.7,1.41
14,2018-11,43.04884757883244,-87.9245939553723,QSJabBBeRPYqELPQPX2lSQ,1001,316.13,153.76,1.4499999
15,2018-09,42.99936787747386,-87.93832036529233,YGJ3GISjPQ9EhPSXN9MiPg,10010,181.73999,-158.01,0.89
16,2011-07,42.96661654925403,-87.93898519901451,_dKqA_LkO3uavxiM9pVtBg,10011,220.81999,-149.97,1.8299999
17,2019-06,42.9259802072315,-87.94029450789766,IBkCPmKWz3f1_Mc8SBY00A,10012,310.94,-164.7,1.41
18,2019-06,42.94766999972022,-87.9391700731862,agVPvT3Lfz672yE7LcLiGg,10013,306.99,-97.75,2.5
19,2018-08,42.9957168,-87.9383872,Y7csrgNBGJO2uo8QE2gDVA,10014,1.8499999,-17.13,1.49
