imgid_heading,ground_truth,jpg_name,3_labels
10007_135,1_null,6,C_Null
10007_225,present,2,A_Present
10007_225,1_null,4,C_Null
10007_315,present,2,A_Present
10007_315,1_null,4,C_Null
10007_45,present,2,A_Present
10007_45,1_null,4,C_Null
10013_135,present,2,A_Present
10013_135,1_null,4,C_Null
10013_225,present,2,A_Present
10013_225,1_null,4,C_Null
10013_315,present,2,A_Present
10013_315,1_null,4,C_Null
10013_45,present,2,A_Present
10013_45,1_null,4,C_Null
10018_135,present,2,A_Present
10018_135,1_null,4,C_Null
10018_225,1_null,6,C_Null
10018_315,1_null,6,C_Null
10018_45,present,2,A_Present
10018_45,1_null,4,C_Null
10039_135,present,2,A_Present
10039_135,1_null,4,C_Null
10039_225,present,1,A_Present
10039_225,1_null,5,C_Null
10039_315,present,2,A_Present
10039_315,1_null,4,C_Null
10039_45,present,1,A_Present
10039_45,1_null,5,C_Null
10076_135,present,2,A_Present
10076_135,1_null,4,C_Null
10076_225,present,2,A_Present
10076_225,1_null,4,C_Null
10076_315,multiple_present,1,A_Present
10076_315,present,1,A_Present
10076_315,only_missing,3,B_Missing
10076_315,1_null,1,C_Null
10076_45,1_null,6,C_Null
10086_135,present,2,A_Present
10086_135,1_null,4,C_Null
10086_225,present,2,A_Present
10086_225,1_null,4,C_Null
10086_315,1_null,6,C_Null
10086_45,present,1,A_Present
10086_45,1_null,5,C_Null
10228_135,present,1,A_Present
10228_135,1_null,5,C_Null
10228_225,present,2,A_Present
10228_225,1_null,4,C_Null
10228_315,present,3,A_Present
10228_315,1_null,3,C_Null
10228_45,present,3,A_Present
10228_45,1_null,3,C_Null
1023_135,1_null,6,C_Null
1023_225,1_null,6,C_Null
1023_315,1_null,6,C_Null
1023_45,1_null,6,C_Null
10277_135,multiple_present,1,A_Present
10277_135,present,2,A_Present
10277_135,1_null,3,C_Null
10277_225,multiple_present,1,A_Present
10277_225,present,2,A_Present
10277_225,1_null,3,C_Null
10277_315,multiple_present,1,A_Present
10277_315,present,2,A_Present
10277_315,1_null,3,C_Null
10277_45,multiple_present,1,A_Present
10277_45,present,1,A_Present
10277_45,1_null,4,C_Null
10317_135,1_null,6,C_Null
10317_225,1_null,6,C_Null
10317_315,1_null,6,C_Null
10317_45,1_null,6,C_Null
10407_135,present,1,A_Present
10407_135,1_null,5,C_Null
10407_225,present,1,A_Present
10407_225,1_null,5,C_Null
10407_315,present,2,A_Present
10407_315,1_null,4,C_Null
10407_45,present,2,A_Present
10407_45,1_null,4,C_Null
10423_135,present,2,A_Present
10423_135,1_null,4,C_Null
10423_225,present,2,A_Present
10423_225,1_null,4,C_Null
10423_315,present,5,A_Present
10423_315,1_null,1,C_Null
10423_45,1_null,6,C_Null
10636_135,1_null,6,C_Null
10636_225,1_null,6,C_Null
10636_315,1_null,6,C_Null
10636_45,present,4,A_Present
10636_45,1_null,2,C_Null
10702_135,multiple_present,1,A_Present
10702_135,present,2,A_Present
10702_135,1_null,3,C_Null
10702_225,present,2,A_Present
10702_225,only_missing,1,B_Missing
10702_225,1_null,3,C_Null
10702_315,present,2,A_Present
10702_315,only_missing,1,B_Missing
10702_315,1_null,3,C_Null
10702_45,present,2,A_Present
10702_45,1_null,4,C_Null
10708_135,present,2,A_Present
10708_135,1_null,4,C_Null
10708_225,present,2,A_Present
10708_225,1_null,4,C_Null
10708_315,1_null,6,C_Null
10708_45,1_null,6,C_Null
10733_135,1_null,6,C_Null
10733_225,1_null,6,C_Null
10733_315,1_null,6,C_Null
10733_45,1_null,6,C_Null
10746_135,1_null,6,C_Null
10746_225,1_null,6,C_Null
10746_315,1_null,6,C_Null
10746_45,1_null,6,C_Null
10782_135,present,2,A_Present
10782_135,1_null,4,C_Null
10782_225,present,2,A_Present
10782_225,1_null,4,C_Null
10782_315,multiple_present,1,A_Present
10782_315,present,1,A_Present
10782_315,1_null,4,C_Null
10782_45,multiple_present,1,A_Present
10782_45,present,2,A_Present
10782_45,1_null,3,C_Null
11206_135,present,2,A_Present
11206_135,1_null,4,C_Null
11206_225,present,2,A_Present
11206_225,1_null,4,C_Null
11206_315,present,2,A_Present
11206_315,1_null,4,C_Null
11206_45,present,1,A_Present
11206_45,1_null,5,C_Null
11245_135,1_null,6,C_Null
11245_225,1_null,6,C_Null
11245_315,1_null,6,C_Null
11245_45,1_null,6,C_Null
11269_135,present,1,A_Present
11269_135,1_null,5,C_Null
11269_225,1_null,6,C_Null
11269_315,present,1,A_Present
11269_315,1_null,5,C_Null
11269_45,present,2,A_Present
11269_45,1_null,4,C_Null
11282_135,present,2,A_Present
11282_135,1_null,4,C_Null
11282_225,present,2,A_Present
11282_225,1_null,4,C_Null
11282_315,present,1,A_Present
11282_315,1_null,5,C_Null
11282_45,present,2,A_Present
11282_45,1_null,4,C_Null
11289_135,1_null,6,C_Null
11289_225,present,2,A_Present
11289_225,1_null,4,C_Null
11289_315,present,2,A_Present
11289_315,1_null,4,C_Null
11289_45,present,1,A_Present
11289_45,1_null,5,C_Null
11295_135,1_null,6,C_Null
11295_225,1_null,6,C_Null
11295_315,present,3,A_Present
11295_315,1_null,3,C_Null
11295_45,present,1,A_Present
11295_45,1_null,5,C_Null
11317_135,1_null,6,C_Null
11317_225,1_null,6,C_Null
11317_315,1_null,6,C_Null
11317_45,1_null,6,C_Null
11354_135,1_null,6,C_Null
11354_225,1_null,6,C_Null
11354_315,1_null,6,C_Null
11354_45,1_null,6,C_Null
11559_135,present,2,A_Present
11559_135,1_null,4,C_Null
11559_225,present,1,A_Present
11559_225,1_null,5,C_Null
