img_id,heading,crop_num,present_ramp,missing_ramp,label_name,sv_image_x,sv_image_y,xpt_minus_xleft,xright_minus_xpt,ypt_minus_ytop,ybottom_minus_ypt,in_10px_roi,jpg_name
680,45,A,True,False,Present Curb Ramp,108,389,103,77,69,111,True,680_45_A.jpg
680,45,A,True,False,Present Curb Ramp,160,389,155,25,69,111,True,680_45_A.jpg
680,135,A,True,False,Present Curb Ramp,18,475,13,167,155,25,True,680_135_A.jpg
680,225,A,False,False,Surface Problem,179,411,174,6,91,89,False,680_225_A.jpg
1042,45,A,False,False,Obstacle,90,380,85,95,60,120,True,1042_45_A.jpg
1042,45,A,False,False,Obstacle,69,363,64,116,43,137,True,1042_45_A.jpg
1042,315,A,False,False,Obstacle,75,418,70,110,98,82,True,1042_315_A.jpg
1205,45,A,True,False,Present Curb Ramp,173,352,168,12,32,148,True,1205_45_A.jpg
1205,135,A,True,False,Present Curb Ramp,90,372,85,95,52,128,True,1205_135_A.jpg
1205,135,A,True,False,Present Curb Ramp,184,367,179,1,47,133,False,1205_135_A.jpg
1205,135,A,False,False,Obstacle,118,370,113,67,50,130,True,1205_135_A.jpg
1908,45,A,True,False,Present Curb Ramp,162,436,157,23,116,64,True,1908_45_A.jpg
3914,225,A,False,False,Surface Problem,107,472,102,78,152,28,True,3914_225_A.jpg
4684,225,A,False,False,Surface Problem,155,447,150,30,127,53,True,4684_225_A.jpg
5479,45,A,False,False,Surface Problem,134,389,129,51,69,111,True,5479_45_A.jpg
5479,45,A,False,False,Surface Problem,69,403,64,116,83,97,True,5479_45_A.jpg
5588,135,A,False,True,Missing Curb Ramp,156,438,151,29,118,62,True,5588_135_A.jpg
6500,225,A,True,False,Present Curb Ramp,131,365,126,54,45,135,True,6500_225_A.jpg
6500,315,A,True,False,Present Curb Ramp,173,351,168,12,31,149,True,6500_315_A.jpg
7136,45,A,True,False,Present Curb Ramp,115,469,110,70,149,31,True,7136_45_A.jpg
7633,135,A,False,False,Surface Problem,91,388,86,94,68,112,True,7633_135_A.jpg
8721,135,A,True,False,Present Curb Ramp,177,389,172,8,69,111,False,8721_135_A.jpg
8829,45,A,True,False,Present Curb Ramp,166,413,161,19,93,87,True,8829_45_A.jpg
8829,45,A,True,False,Present Curb Ramp,119,388,114,66,68,112,True,8829_45_A.jpg
8829,135,A,False,False,Surface Problem,167,378,162,18,58,122,True,8829_135_A.jpg
8829,135,A,True,False,Present Curb Ramp,112,380,107,73,60,120,True,8829_135_A.jpg
8829,135,A,False,False,Obstacle,137,377,132,48,57,123,True,8829_135_A.jpg
8829,135,A,True,False,Present Curb Ramp,127,368,122,58,48,132,True,8829_135_A.jpg
8861,45,A,True,False,Present Curb Ramp,172,387,167,13,67,113,True,8861_45_A.jpg
8861,45,A,False,False,Obstacle,127,372,122,58,52,128,True,8861_45_A.jpg
8861,315,A,False,True,Missing Curb Ramp,73,419,68,112,99,81,True,8861_315_A.jpg
9552,225,A,False,True,Missing Curb Ramp,96,489,91,89,169,11,True,9552_225_A.jpg
9987,45,A,True,False,Present Curb Ramp,171,379,166,14,59,121,True,9987_45_A.jpg
10076,225,A,True,False,Present Curb Ramp,119,365,114,66,45,135,True,10076_225_A.jpg
10076,315,A,False,True,Missing Curb Ramp,148,491,143,37,171,9,True,10076_315_A.jpg
13736,45,A,True,False,Present Curb Ramp,159,350,154,26,30,150,True,13736_45_A.jpg
16005,135,A,True,False,Present Curb Ramp,12,450,7,173,130,50,True,16005_135_A.jpg
16005,315,A,True,False,Present Curb Ramp,51,401,46,134,81,99,True,16005_315_A.jpg
16078,45,A,True,False,Present Curb Ramp,18,425,13,167,105,75,True,16078_45_A.jpg
16078,45,A,False,False,Obstacle,100,395,95,85,75,105,True,16078_45_A.jpg
16078,135,A,False,False,Obstacle,71,457,66,114,137,43,True,16078_135_A.jpg
16078,315,A,True,False,Present Curb Ramp,21,419,16,164,99,81,True,16078_315_A.jpg
16125,225,A,True,False,Present Curb Ramp,15,437,10,170,117,63,True,16125_225_A.jpg
16125,315,A,False,True,Missing Curb Ramp,13,467,8,172,147,33,True,16125_315_A.jpg
16125,315,A,True,False,Present Curb Ramp,143,431,138,42,111,69,True,16125_315_A.jpg
16127,135,A,True,False,Present Curb Ramp,133,387,128,52,67,113,True,16127_135_A.jpg
16180,135,A,False,True,Missing Curb Ramp,100,352,95,85,32,148,True,16180_135_A.jpg
16180,135,A,True,False,Present Curb Ramp,160,369,155,25,49,131,True,16180_135_A.jpg
16188,225,A,True,False,Present Curb Ramp,58,389,53,127,69,111,True,16188_225_A.jpg
16258,225,A,True,False,Present Curb Ramp,70,440,65,115,120,60,True,16258_225_A.jpg
16377,315,A,True,False,Present Curb Ramp,154,400,149,31,80,100,True,16377_315_A.jpg
16377,315,A,False,False,Obstacle,27,361,22,158,41,139,True,16377_315_A.jpg
16672,45,A,False,False,Obstacle,90,384,85,95,64,116,True,16672_45_A.jpg
16672,45,A,True,False,Present Curb Ramp,102,392,97,83,72,108,True,16672_45_A.jpg
16679,135,A,True,False,Present Curb Ramp,159,404,154,26,84,96,True,16679_135_A.jpg
16706,225,A,True,False,Present Curb Ramp,7,429,2,178,109,71,True,16706_225_A.jpg
16826,45,A,True,False,Present Curb Ramp,78,432,73,107,112,68,True,16826_45_A.jpg
16833,225,A,True,False,Present Curb Ramp,157,377,152,28,57,123,True,16833_225_A.jpg
17026,315,A,True,False,Present Curb Ramp,41,401,36,144,81,99,True,17026_315_A.jpg
17033,45,A,False,True,Missing Curb Ramp,152,467,147,33,147,33,True,17033_45_A.jpg
17045,45,A,True,False,Present Curb Ramp,128,353,123,57,33,147,True,17045_45_A.jpg
17051,135,A,True,False,Present Curb Ramp,180,390,175,5,70,110,False,17051_135_A.jpg
17051,225,A,True,False,Present Curb Ramp,174,449,169,11,129,51,True,17051_225_A.jpg
17062,225,A,True,False,Present Curb Ramp,15,396,10,170,76,104,True,17062_225_A.jpg
17062,315,A,True,False,Present Curb Ramp,55,405,50,130,85,95,True,17062_315_A.jpg
17067,45,A,True,False,Present Curb Ramp,8,427,3,177,107,73,True,17067_45_A.jpg
17067,135,A,True,False,Present Curb Ramp,147,387,142,38,67,113,True,17067_135_A.jpg
17068,315,A,True,False,Present Curb Ramp,81,400,76,104,80,100,True,17068_315_A.jpg
17152,135,A,True,False,Present Curb Ramp,32,405,27,153,85,95,True,17152_135_A.jpg
17152,315,A,True,False,Present Curb Ramp,78,413,73,107,93,87,True,17152_315_A.jpg
17179,45,A,True,False,Present Curb Ramp,176,379,171,9,59,121,False,17179_45_A.jpg
17202,135,A,True,False,Present Curb Ramp,123,382,118,62,62,118,True,17202_135_A.jpg
17221,225,A,True,False,Present Curb Ramp,114,487,109,71,167,13,True,17221_225_A.jpg
17386,45,A,False,False,Obstacle,86,356,81,99,36,144,True,17386_45_A.jpg
17386,135,A,True,False,Present Curb Ramp,144,376,139,41,56,124,True,17386_135_A.jpg
17386,225,A,False,True,Missing Curb Ramp,52,425,47,133,105,75,True,17386_225_A.jpg
17386,225,A,False,False,No Sidewalk,101,394,96,84,74,106,True,17386_225_A.jpg
17403,45,A,True,False,Present Curb Ramp,140,358,135,45,38,142,True,17403_45_A.jpg
17411,45,A,True,False,Present Curb Ramp,163,423,158,22,103,77,True,17411_45_A.jpg
17445,225,A,True,False,Present Curb Ramp,179,371,174,6,51,129,False,17445_225_A.jpg
17558,225,A,True,False,Present Curb Ramp,157,344,152,28,24,156,True,17558_225_A.jpg
17558,225,A,False,False,Obstacle,140,337,135,45,17,163,True,17558_225_A.jpg
17626,225,A,True,False,Present Curb Ramp,29,399,24,156,79,101,True,17626_225_A.jpg
17973,225,A,False,False,Surface Problem,181,423,176,4,103,77,False,17973_225_A.jpg
17973,225,A,False,False,Surface Problem,138,408,133,47,88,92,True,17973_225_A.jpg
17973,225,A,False,False,Surface Problem,48,392,43,137,72,108,True,17973_225_A.jpg
17973,315,A,False,False,Surface Problem,174,381,169,11,61,119,True,17973_315_A.jpg
17976,225,A,False,False,Surface Problem,144,406,139,41,86,94,True,17976_225_A.jpg
17976,225,A,False,False,Surface Problem,78,387,73,107,67,113,True,17976_225_A.jpg
18075,135,A,False,False,Surface Problem,24,484,19,161,164,16,True,18075_135_A.jpg
18075,135,A,False,False,No Sidewalk,109,434,104,76,114,66,True,18075_135_A.jpg
18075,315,A,True,False,Present Curb Ramp,21,370,16,164,50,130,True,18075_315_A.jpg
18131,135,A,False,False,Obstacle,64,465,59,121,145,35,True,18131_135_A.jpg
18131,315,A,True,False,Present Curb Ramp,99,416,94,86,96,84,True,18131_315_A.jpg
18131,315,A,False,False,Obstacle,79,397,74,106,77,103,True,18131_315_A.jpg
18131,315,A,False,False,Surface Problem,148,406,143,37,86,94,True,18131_315_A.jpg
18145,315,A,True,False,Present Curb Ramp,131,362,126,54,42,138,True,18145_315_A.jpg
18145,315,A,False,False,Surface Problem,167,356,162,18,36,144,True,18145_315_A.jpg
18145,315,A,False,False,Surface Problem,92,343,87,93,23,157,True,18145_315_A.jpg
18151,135,A,True,False,Present Curb Ramp,157,357,152,28,37,143,True,18151_135_A.jpg
18158,225,A,False,True,Missing Curb Ramp,100,382,95,85,62,118,True,18158_225_A.jpg
18158,315,A,False,True,Missing Curb Ramp,146,436,141,39,116,64,True,18158_315_A.jpg
18158,315,A,False,False,Surface Problem,35,369,30,150,49,131,True,18158_315_A.jpg
18163,45,A,True,False,Present Curb Ramp,136,384,131,49,64,116,True,18163_45_A.jpg
18218,225,A,True,False,Present Curb Ramp,153,401,148,32,81,99,True,18218_225_A.jpg
18218,225,A,False,False,No Sidewalk,114,396,109,71,76,104,True,18218_225_A.jpg
18242,135,A,True,False,Present Curb Ramp,162,346,157,23,26,154,True,18242_135_A.jpg
18242,315,A,False,False,Obstacle,66,405,61,119,85,95,True,18242_315_A.jpg
